tag,description,unit,nominal,normal_lo,normal_hi,LL,L,H,HH,drift_level,noise_level,links
TI-101,"대기 온도",℃,24.3,10,35,-5,0,35,40,2,2,""
MI-102,"대기 습도",%,61.2,30,85,,20,85,95,2,2,""
PDI-103,"필터 차압",bar,0.012,0.005,0.025,,,0.03,0.04,1,2,""
ZI-201,"IGV 개도",%,68.4,55,85,,45,92,97,1,1,"FI-204:0.90, PI-203:0.50"
ZI-202,"토출밸브 개도",%,82,70,95,,60,97,99,1,1,"PI-203:-0.40, FI-204:0.60"
PI-203,"토출 압력",bar,5.85,5.6,6.1,5.2,5.4,6.2,6.4,2,2,"JI-206:0.80, TI-205:0.50"
FI-204,"토출 유량",Nm3/h,42500,40000,45000,36000,38500,46500,48000,2,2,"JI-206:0.60"
TI-205,"토출 온도",℃,108.6,95,120,,,125,135,2,2,""
JI-206,"소비 전력",kW,3240,3000,3500,,2800,3600,3800,2,2,""
TI-301,"A탑 내부온도",℃,32.1,25,45,,,50,60,2,2,""
MI-302,"A탑 후단 수분",ppm,0.8,0.1,2,,,3,5,1,2,"AI-703:-0.20:600"
PDI-303,"A탑 차압",bar,0.08,0.05,0.12,,,0.15,0.2,1,2,"MI-302:0.40:300"
TI-304,"B탑 내부온도 (재생)",℃,168.4,150,185,,140,190,200,2,2,""
MI-305,"B탑 후단 수분",ppm,1.1,0.1,2,,,3,5,1,2,""
PDI-306,"B탑 차압",bar,0.09,0.05,0.12,,,0.15,0.2,1,2,"MI-305:0.40:300"
TI-401,"인입 Air 온도",℃,12.4,5,20,,,25,30,2,2,""
AI-402,"Waste gas O2",%,1.8,1,3,,,4,5,2,2,""
TI-403,"Cold end 온도",℃,-172.5,-178,-168,-185,-181,-165,-160,2,1,""
TI-501,"Inlet 온도",℃,-142,-148,-136,-155,-150,-132,-126,2,2,"TI-503:0.60:30"
PI-502,"Inlet 압력",bar,5.42,5.2,5.7,4.9,5.1,5.85,6.05,2,2,""
TI-503,"Outlet 온도",℃,-178.3,-183,-174,-188,-185,-171,-167,2,2,""
PI-504,"Outlet 압력",bar,1.28,1.15,1.4,1,1.1,1.5,1.62,2,2,""
ZI-505,"IGV 개도",%,55,45,70,,35,80,90,1,1,"SI-507:0.70, TI-503:-0.40"
ZI-506,"토출밸브 개도",%,47.5,35,60,,25,72,85,1,1,""
SI-507,"터빈 회전수",rpm,18450,17500,19500,16000,17000,20200,21000,2,2,""
ZI-601,"FV-601 개도",%,74.2,60,90,,50,95,99,1,1,"FI-602:0.95, PI-604:-0.40:20"
FI-602,"공급 유량",Nm3/h,39800,37000,42000,33000,35500,43500,45000,2,2,"FI-710:0.70:60, LI-701:0.30:120, PDI-702:0.45:20, TI-704:0.30:30"
TI-603,"공급 온도",℃,-168,-173,-163,-180,-176,-159,-154,2,2,""
PI-604,"공급 압력",bar,5.6,5.35,5.85,5,5.2,6,6.2,2,2,""
LI-701,"HP 레벨",%,25.4,18,35,10,15,40,50,2,1,""
PDI-702,"HP 차압",bar,0.31,0.25,0.4,,0.2,0.45,0.55,2,2,""
AI-703,"HP O2 농도",%,38.2,34,42,30,32,45,48,2,2,""
TI-704,"HP 온도",℃,-178,-181,-175,-185,-183,-172,-169,1,1,""
LI-705,"LP 레벨",%,22.1,15,32,8,12,38,48,2,1,""
PDI-706,"LP 차압",bar,0.24,0.18,0.32,,0.14,0.38,0.46,2,2,""
AI-707,"LP O2 순도",%,99.6,99,99.9,98.5,99.2,,,1,1,"AI-803:0.80:180"
TI-708,"LP 온도",℃,-183.5,-186,-181,-190,-188,-178,-175,1,1,""
ZI-709,"FV-709 개도",%,61,50,75,,40,85,93,1,1,"FI-710:0.90, LI-701:-0.50:60, LI-705:0.40:90"
FI-710,"HP→LP 이송 유량",Nm3/h,21400,19500,23000,17000,18500,24500,26000,2,2,""
ZI-801,"LV-801 개도",%,45,30,65,,20,80,92,1,1,"LI-802:-0.60:60"
LI-802,"LOX 레벨",%,60,30,85,15,25,88,95,3,1,""
AI-803,"LOX 순도 O2",%,99.7,99.4,99.9,99,99.3,,,1,1,""
MI-804,"LOX 수분",ppm,0.5,0.1,1.5,,,2,3,1,2,""
ZI-805,"LV-802 개도",%,38.5,25,60,,15,78,90,1,1,"LI-806:-0.60:60"
LI-806,"LIN 레벨",%,80,40,90,15,25,88,95,3,1,""
AI-807,"LIN 순도 N2",%,99.9,99.7,99.99,99.3,99.6,,,1,1,""
MI-808,"LIN 수분",ppm,0.3,0.1,1,,,1.5,2.5,1,2,""
PI-901,"GN2 공급 압력",bar,4.85,4.6,5.1,4.2,4.5,5.2,5.5,2,2,""
FI-902,"GN2 공급 유량",Nm3/h,18600,16000,21000,13000,15000,22500,24000,2,2,""
MI-903,"GN2 수분",ppm,0.4,0.1,1.2,,,1.8,3,1,2,""
ZI-904,"PV-902 개도",%,72,55,90,,45,95,99,1,1,"PI-901:-0.50:30, FI-902:0.85"
ZI-905,"PV-903 Vent 개도",%,8.5,0,25,,,35,50,1,1,"PI-901:-0.70:20, FI-906:0.95"
FI-906,"Vent 유량",Nm3/h,1250,0,3500,,,4500,6000,2,2,""
