no,근무,태그,이번항목,기각된_과거일지,과거일지_내용,AI판정사유
1,2026-08-21-night,AI-707,AI-707(LP O2 순도) 하강 추세 — 이 속도면 약 2.7시간 뒤 L 한계 99.0% 도달,2026-08-21-day,"AI-707(LP O2 순도) 변동폭 확대 8회 — 순도 헌팅 AI-707(LP O2 순도) 변동폭이 평소의 14.8배로 커짐(진폭 약 0.32%), 근무 중 8회 반복, 지속 11.5분. 제품 순도가 흔들리는 것이라 규격 이탈 전이라도 그냥 넘기면 안 됨. 같은 근무에 ZI-601(F","전 근무 사례는 같은 AI-707 이지만 변동폭 확대(헌팅, 진폭 약 0.32%) 건이고 이번은 r=-0.984 의 단조 하강이라 증상이 달라 채택하지 않음"
2,2026-08-22-day,FI-602,"FI-602(공급 유량) 변동폭 확대 — 회차마다 진폭이 커지는 중, 3회",2026-08-21-night,"FI-602(공급 유량) 60분간 값 고착 — 알람 미발생 FI-602(공급 유량) 가 39,066Nm3/h 에서 60분간 값 변화가 전혀 없음. 값 자체는 정상범위 안이라 알람은 울리지 않았음. 실제 유량이 고정된 것보다 계측 신호 고착이 의심됨. FI-602 값을 쓰는 LI-701(","과거 [0]은 FI-602 값이 39,066Nm3/h 에서 60분간 고착된 신호 정지 건으로, 이번 진폭 확대와는 반대 증상이라 기각 — 이번 현상에 맞는 과거 조치 없음."
3,2026-08-22-day,AI-707,AI-707(LP O2 순도) 하강 추세 — 이 속도면 L 한계 99.0% 까지 약 2.1시간,2026-08-21-day,"AI-707(LP O2 순도) 변동폭 확대 8회 — 순도 헌팅 AI-707(LP O2 순도) 변동폭이 평소의 14.8배로 커짐(진폭 약 0.32%), 근무 중 8회 반복, 지속 11.5분. 제품 순도가 흔들리는 것이라 규격 이탈 전이라도 그냥 넘기면 안 됨. 같은 근무에 ZI-601(F","과거 [0]은 같은 태그·같은 하강 추세·같은 L 한계 99.0% 로 이번 현상과 동일 계열이라 채택, 과거 [1]은 변동폭 확대(헌팅)로 이번 단조 하강과 증상이 달라 제외."
4,2026-08-22-day,PDI-103,"PDI-103(필터 차압) 순간 이탈 — 0.0205bar 에서 0.01bar 로 1분, 알람 미발생",2026-08-21-night,"PDI-103(필터 차압) 상승 — 약 2.9시간 뒤 H 한계 도달 전망 PDI-103(필터 차압) 이 240분간 0.005839bar/시간 으로 상승, 구간 변화 0.02331bar (평소 산포의 11.8배, r=0.933). 알람은 아직 없으나 이 속도가 유지되면 H 한계 0.03b",과거 [0]은 240분 상승 추세(필터 막힘 의심)로 이번 1분 순간 하강과 증상이 달라 채택하지 않음 — 기준값 0.0205bar 가 그 추세와 이어진다는 점만 참고.
5,2026-08-22-night,LI-806,"LI-806(LIN 레벨) 상한 88.0% 초과 — 89.6%에서 40분 체류, 알람 미발생",2026-08-21-day,"LI-806(LIN 레벨) 1분 순간 이탈 — 계측 이상 의심 LI-806(LIN 레벨)이 82.2%에서 75.9%로 순간 이탈(21σ), 지속 1.0분. 알람 지속시간 미달로 미발생. 실제 액면이 1분 만에 이 폭으로 움직이기 어려워 레벨 계측 순간 이상 의심됨 — 실제 액면 변동인지",[0]은 같은 태그의 같은 상한 88.0% 초과 체류 건이라 이번 현상에 맞음. [1]은 1분 순간 이탈 건으로 이번 40분 체류와 증상이 달라 채택하지 않음 — 계측 이상 의심 배경은 [0] 안에 이미 들어 있음.
6,2026-08-23-night,MI-302,"MI-302(A탑 후단 수분) 급하강 — 60분에 -2.00ppm, 평소 산포 17.0배",2026-08-21-day,"MI-302(A탑 후단 수분) 상승 추세 — 0.72ppm/시간, 약 3.4시간 뒤 H 한계 3.0ppm 도달 MI-302(A탑 후단 수분)가 0.7158ppm/시간 으로 상승 중. 120분 구간 변화 1.43ppm, 평소 산포의 9.1배. 알람 미발생이나 이 속도면 약 3.4시간 뒤 ",제시된 과거 사례는 같은 태그의 상승(파과 방향) 추세로 이번 하강과 방향이 반대라 채택하지 않음.
7,2026-08-24-day,FI-602,"FI-602(공급 유량) 변동폭 확대 — 회차마다 진폭 커지는 중, 3회 241분",2026-08-21-night,"FI-602(공급 유량) 60분간 값 고착 — 알람 미발생 FI-602(공급 유량) 가 39,066Nm3/h 에서 60분간 값 변화가 전혀 없음. 값 자체는 정상범위 안이라 알람은 울리지 않았음. 실제 유량이 고정된 것보다 계측 신호 고착이 의심됨. FI-602 값을 쓰는 LI-701(","[0] 8/22 주간 건은 같은 발산 거동이라 맞으나, [1] 8/21 야간 건은 신호가 60분간 멈춘 값 고착으로 이번과 정반대 증상이라 제외."
8,2026-08-24-day,AI-707,AI-707(LP O2 순도) 하강 추세 — 이 속도면 약 1.9시간 뒤 L 한계 99.0% 도달,2026-08-21-day,"AI-707(LP O2 순도) 변동폭 확대 8회 — 순도 헌팅 AI-707(LP O2 순도) 변동폭이 평소의 14.8배로 커짐(진폭 약 0.32%), 근무 중 8회 반복, 지속 11.5분. 제품 순도가 흔들리는 것이라 규격 이탈 전이라도 그냥 넘기면 안 됨. 같은 근무에 ZI-601(F","[0] 8/22 주간·[1] 8/21 야간은 같은 단조 하강 추세라 맞으나, [2] 8/21 주간은 변동폭 확대(순도 헌팅) 건이고 이번은 r=-0.987 의 매끈한 하강이라 다른 증상이어서 제외."
9,2026-08-24-day,ZI-801,"ZI-801(LV-801 개도) 상승 추세 — 외기 몫 제외 후 6.82%/시간, 약 3.7시간 뒤 H 한계",2026-08-21-night,ZI-801(LV-801 개도) 45.1% 에서 120분 무변화 — 밸브 고착 의심됨 ZI-801(LV-801 개도)이 45.1% 에서 120분간 값 변화 없음. 값 자체가 정상범위 안이라 알람 미발생 — 개도 고착 의심되나 확정 못 함. 고착이면 개도값으로는 안 드러나고 연결 태그 L,8/21 야간 건은 45.1%에서 120분간 값 무변화한 고착 의심이고 이번은 개도가 한 방향으로 계속 열리는 상승 추세라 증상이 반대여서 채택 안 함.
10,2026-08-24-day,FI-204,"FI-204(토출 유량)–ZI-201(IGV 개도) 연동 끊김 45분, 잔차 8.6σ",2026-08-23-night,"FI-204(토출 유량) 하강 1,449Nm3/h/시간 — 약 1.6시간 뒤 L 한계 38,500Nm3/h FI-204(토출 유량)가 60분간 시간당 1,449Nm3/h 로 내려가 구간 변화 -1,437Nm3/h(평소 산포의 5.6배, r=-0.674). 알람은 아직 미발생이나 이 속도",과거 두 건은 모두 FI-204 유량 하강 추세(한계 도달 예상)이고 이번은 IGV 개도와의 연동 붕괴라 증상이 달라 채택하지 않음
